exact_problem_statement,digital_friction,policy_friction,solution_by_ui,solution_by_ops,solution_by_education,solution_by_technology,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,friction_driver_category
User cannot find the 'Export Data' option in the new interface.,High,N/A,Simplify navigation menu,Waive fee,Email newsletter tip,Optimize database query,Feature Inquiry,App Crash,Account Lifecycle,MFA/OTP,CSV Export Broken,Restrictive Policy
User wants to cancel subscription but cannot find the button.,Low,No,Make buttons more prominent,Manual refund processing,Update FAQ section,None,Login/Access,App Crash,Transaction Processing,Mobile App Issues,CSV Export Broken,Restrictive Policy
Customer didn't receive the OTP for login authentication.,Low,N/A,None,Escalate to L2 faster,None,Resolve API timeout,Billing/Payments,Export Data,Transaction Processing,Invoice Generation,Hidden Cancellation Flow,Third-party Failure
Customer is unable to reset their password via the mobile app.,Medium,No,Make buttons more prominent,Escalate to L2 faster,None,Fix null pointer exception,Feature Inquiry,Export Data,Workflow/Usability,Reporting/Analytics,Payment Gateway Timeout,Restrictive Policy
Payment got deducted twice for the same transaction.,High,N/A,Simplify navigation menu,Escalate to L2 faster,Send interactive guide,Fix timezone bug,Account Management,Export Data,Authentication,Subscription Management,Payment Gateway Timeout,Restrictive Policy
User wants to cancel subscription but cannot find the button.,None,Yes,None,Provide better script for agents,Send interactive guide,Optimize database query,Feature Inquiry,Subscription Cancellation,Application Stability,Invoice Generation,Android Webview Crash,System Bug/Outage
Payment got deducted twice for the same transaction.,None,Yes,Add tooltips,None,Publish video tutorial,Fix timezone bug,Account Management,Double Charge,Workflow/Usability,Mobile App Issues,Hidden Cancellation Flow,System Bug/Outage
Payment got deducted twice for the same transaction.,Medium,No,Make buttons more prominent,Escalate to L2 faster,None,Fix null pointer exception,Feature Inquiry,Subscription Cancellation,Application Stability,MFA/OTP,Payment Gateway Timeout,System Bug/Outage
User mentions the website is too slow when loading reports.,Low,Yes,Add tooltips,Manual refund processing,Update FAQ section,None,Account Management,App Crash,Account Lifecycle,Reporting/Analytics,Payment Gateway Timeout,UI/UX Flaw
User cannot find the 'Export Data' option in the new interface.,Low,No,Add tooltips,Provide better script for agents,None,Fix null pointer exception,Account Management,App Crash,Application Stability,Invoice Generation,SMS Gateway Delay,Third-party Failure
Payment got deducted twice for the same transaction.,Low,No,None,Escalate to L2 faster,Email newsletter tip,Resolve API timeout,Login/Access,Double Charge,Workflow/Usability,Invoice Generation,SMS Gateway Delay,User Error/Knowledge Gap
User wants to cancel subscription but cannot find the button.,High,Yes,None,Provide better script for agents,Send interactive guide,Optimize database query,Technical Issue,Export Data,Account Lifecycle,Subscription Management,SMS Gateway Delay,System Bug/Outage
Customer confused about the new billing policy on their last invoice.,Medium,N/A,Make buttons more prominent,Provide better script for agents,Email newsletter tip,Resolve API timeout,Login/Access,Double Charge,Application Stability,Invoice Generation,SMS Gateway Delay,System Bug/Outage
App crashes immediately upon opening on Android 13.,High,No,Fix responsive layout,None,None,Fix null pointer exception,Billing/Payments,Password Reset,Account Lifecycle,MFA/OTP,SMS Gateway Delay,Restrictive Policy
Payment got deducted twice for the same transaction.,Medium,No,None,None,Publish video tutorial,None,Billing/Payments,Subscription Cancellation,Transaction Processing,Mobile App Issues,SMS Gateway Delay,System Bug/Outage
User wants to cancel subscription but cannot find the button.,Medium,No,Simplify navigation menu,None,Update FAQ section,Fix timezone bug,Login/Access,Subscription Cancellation,Transaction Processing,Invoice Generation,SMS Gateway Delay,UI/UX Flaw
Payment got deducted twice for the same transaction.,Medium,Yes,Simplify navigation menu,Escalate to L2 faster,Email newsletter tip,None,Billing/Payments,Export Data,Authentication,Reporting/Analytics,Android Webview Crash,Restrictive Policy
User wants to cancel subscription but cannot find the button.,None,Yes,Simplify navigation menu,Manual refund processing,Publish video tutorial,Resolve API timeout,Account Management,Password Reset,Application Stability,Mobile App Issues,Android Webview Crash,UI/UX Flaw
App crashes immediately upon opening on Android 13.,High,Yes,None,Manual refund processing,Publish video tutorial,None,Account Management,Double Charge,Transaction Processing,Subscription Management,Hidden Cancellation Flow,System Bug/Outage
Customer didn't receive the OTP for login authentication.,Medium,No,Simplify navigation menu,Escalate to L2 faster,Publish video tutorial,Fix timezone bug,Login/Access,Password Reset,Account Lifecycle,Invoice Generation,Hidden Cancellation Flow,UI/UX Flaw
Customer didn't receive the OTP for login authentication.,Medium,N/A,None,Waive fee,Send interactive guide,None,Technical Issue,Password Reset,Authentication,Mobile App Issues,CSV Export Broken,UI/UX Flaw
User mentions the website is too slow when loading reports.,None,No,None,None,Update FAQ section,Fix timezone bug,Account Management,Double Charge,Account Lifecycle,Subscription Management,SMS Gateway Delay,UI/UX Flaw
User wants to cancel subscription but cannot find the button.,Medium,N/A,Fix responsive layout,None,Publish video tutorial,None,Login/Access,Export Data,Account Lifecycle,Subscription Management,Hidden Cancellation Flow,System Bug/Outage
Payment got deducted twice for the same transaction.,None,No,Make buttons more prominent,None,Publish video tutorial,Resolve API timeout,Technical Issue,Password Reset,Authentication,Reporting/Analytics,Payment Gateway Timeout,Restrictive Policy
Customer didn't receive the OTP for login authentication.,High,No,Add tooltips,Escalate to L2 faster,Update FAQ section,Resolve API timeout,Billing/Payments,App Crash,Application Stability,MFA/OTP,Payment Gateway Timeout,UI/UX Flaw
User cannot find the 'Export Data' option in the new interface.,High,N/A,Fix responsive layout,None,Send interactive guide,Optimize database query,Billing/Payments,App Crash,Account Lifecycle,Subscription Management,Android Webview Crash,System Bug/Outage
App crashes immediately upon opening on Android 13.,None,N/A,Make buttons more prominent,None,None,None,Feature Inquiry,Subscription Cancellation,Workflow/Usability,MFA/OTP,Android Webview Crash,Restrictive Policy
Customer is unable to reset their password via the mobile app.,Low,No,Fix responsive layout,Waive fee,Email newsletter tip,Resolve API timeout,Login/Access,Password Reset,Transaction Processing,Subscription Management,SMS Gateway Delay,UI/UX Flaw
Customer is unable to reset their password via the mobile app.,None,N/A,None,Provide better script for agents,Send interactive guide,Fix timezone bug,Login/Access,Subscription Cancellation,Authentication,Subscription Management,Payment Gateway Timeout,System Bug/Outage
Payment got deducted twice for the same transaction.,High,Yes,Fix responsive layout,None,Publish video tutorial,Fix timezone bug,Account Management,Export Data,Workflow/Usability,Invoice Generation,Payment Gateway Timeout,System Bug/Outage
Customer confused about the new billing policy on their last invoice.,Medium,N/A,Simplify navigation menu,Provide better script for agents,Send interactive guide,Optimize database query,Billing/Payments,Export Data,Authentication,Subscription Management,SMS Gateway Delay,Restrictive Policy
App crashes immediately upon opening on Android 13.,Medium,N/A,Fix responsive layout,None,Publish video tutorial,Optimize database query,Login/Access,Double Charge,Account Lifecycle,Mobile App Issues,CSV Export Broken,Restrictive Policy
Customer didn't receive the OTP for login authentication.,Medium,N/A,Make buttons more prominent,Provide better script for agents,Publish video tutorial,Resolve API timeout,Technical Issue,Subscription Cancellation,Account Lifecycle,MFA/OTP,Hidden Cancellation Flow,Restrictive Policy
Customer is unable to reset their password via the mobile app.,Low,N/A,Simplify navigation menu,Provide better script for agents,None,Optimize database query,Feature Inquiry,App Crash,Authentication,Invoice Generation,Payment Gateway Timeout,UI/UX Flaw
Customer is unable to reset their password via the mobile app.,None,N/A,None,Escalate to L2 faster,Update FAQ section,Optimize database query,Technical Issue,Double Charge,Authentication,MFA/OTP,Payment Gateway Timeout,UI/UX Flaw
User mentions the website is too slow when loading reports.,High,Yes,Make buttons more prominent,Provide better script for agents,Update FAQ section,None,Billing/Payments,Subscription Cancellation,Transaction Processing,Reporting/Analytics,SMS Gateway Delay,UI/UX Flaw
App crashes immediately upon opening on Android 13.,Low,Yes,None,Manual refund processing,Publish video tutorial,Fix null pointer exception,Login/Access,Subscription Cancellation,Account Lifecycle,Mobile App Issues,Android Webview Crash,UI/UX Flaw
Customer didn't receive the OTP for login authentication.,Low,N/A,None,None,Update FAQ section,Resolve API timeout,Billing/Payments,Subscription Cancellation,Application Stability,MFA/OTP,CSV Export Broken,Restrictive Policy
Customer is unable to reset their password via the mobile app.,Medium,No,None,Escalate to L2 faster,Publish video tutorial,Resolve API timeout,Login/Access,Subscription Cancellation,Application Stability,MFA/OTP,CSV Export Broken,User Error/Knowledge Gap
Customer confused about the new billing policy on their last invoice.,Medium,No,Simplify navigation menu,Provide better script for agents,None,Fix timezone bug,Technical Issue,Double Charge,Workflow/Usability,MFA/OTP,Payment Gateway Timeout,Restrictive Policy
Payment got deducted twice for the same transaction.,Low,Yes,Make buttons more prominent,Provide better script for agents,Publish video tutorial,Resolve API timeout,Billing/Payments,Password Reset,Application Stability,Subscription Management,CSV Export Broken,Third-party Failure
User cannot find the 'Export Data' option in the new interface.,Medium,No,Add tooltips,Escalate to L2 faster,Update FAQ section,None,Account Management,Subscription Cancellation,Authentication,Invoice Generation,Hidden Cancellation Flow,User Error/Knowledge Gap
Customer confused about the new billing policy on their last invoice.,Low,Yes,None,Provide better script for agents,Send interactive guide,None,Feature Inquiry,App Crash,Workflow/Usability,Subscription Management,SMS Gateway Delay,Third-party Failure
Payment got deducted twice for the same transaction.,High,N/A,Simplify navigation menu,Provide better script for agents,Publish video tutorial,Resolve API timeout,Account Management,Double Charge,Application Stability,Subscription Management,SMS Gateway Delay,UI/UX Flaw
App crashes immediately upon opening on Android 13.,Medium,N/A,Make buttons more prominent,Manual refund processing,Publish video tutorial,Resolve API timeout,Feature Inquiry,Subscription Cancellation,Workflow/Usability,Mobile App Issues,CSV Export Broken,Third-party Failure
Customer didn't receive the OTP for login authentication.,None,N/A,Simplify navigation menu,Manual refund processing,Publish video tutorial,Fix null pointer exception,Feature Inquiry,Double Charge,Transaction Processing,Reporting/Analytics,Hidden Cancellation Flow,User Error/Knowledge Gap
Customer didn't receive the OTP for login authentication.,None,N/A,None,None,Update FAQ section,Fix null pointer exception,Feature Inquiry,Subscription Cancellation,Account Lifecycle,Mobile App Issues,CSV Export Broken,Third-party Failure
Payment got deducted twice for the same transaction.,None,Yes,Fix responsive layout,Waive fee,Update FAQ section,Fix null pointer exception,Login/Access,Export Data,Authentication,Mobile App Issues,Payment Gateway Timeout,User Error/Knowledge Gap
App crashes immediately upon opening on Android 13.,Medium,Yes,Simplify navigation menu,Waive fee,Send interactive guide,Fix null pointer exception,Login/Access,Password Reset,Authentication,Mobile App Issues,Payment Gateway Timeout,User Error/Knowledge Gap
Payment got deducted twice for the same transaction.,High,Yes,Make buttons more prominent,Waive fee,Update FAQ section,None,Account Management,Subscription Cancellation,Workflow/Usability,Subscription Management,Hidden Cancellation Flow,System Bug/Outage
Customer is unable to reset their password via the mobile app.,Medium,Yes,Make buttons more prominent,Escalate to L2 faster,Update FAQ section,Optimize database query,Account Management,App Crash,Application Stability,Subscription Management,SMS Gateway Delay,User Error/Knowledge Gap
Customer is unable to reset their password via the mobile app.,None,No,Make buttons more prominent,Waive fee,Publish video tutorial,None,Billing/Payments,Double Charge,Workflow/Usability,MFA/OTP,Hidden Cancellation Flow,Third-party Failure
Customer is unable to reset their password via the mobile app.,Low,Yes,Add tooltips,Provide better script for agents,Publish video tutorial,Fix timezone bug,Technical Issue,App Crash,Account Lifecycle,Invoice Generation,Hidden Cancellation Flow,System Bug/Outage
User wants to cancel subscription but cannot find the button.,Low,No,Make buttons more prominent,Escalate to L2 faster,Publish video tutorial,Resolve API timeout,Login/Access,Export Data,Transaction Processing,MFA/OTP,CSV Export Broken,UI/UX Flaw
App crashes immediately upon opening on Android 13.,High,No,Simplify navigation menu,Manual refund processing,Email newsletter tip,Fix timezone bug,Account Management,Subscription Cancellation,Transaction Processing,MFA/OTP,SMS Gateway Delay,System Bug/Outage
User mentions the website is too slow when loading reports.,None,No,None,Provide better script for agents,Email newsletter tip,Resolve API timeout,Technical Issue,Password Reset,Application Stability,Mobile App Issues,CSV Export Broken,UI/UX Flaw
Customer didn't receive the OTP for login authentication.,Medium,No,Fix responsive layout,Escalate to L2 faster,None,Fix null pointer exception,Login/Access,App Crash,Application Stability,Reporting/Analytics,Android Webview Crash,Restrictive Policy
User cannot find the 'Export Data' option in the new interface.,Medium,No,Simplify navigation menu,None,None,Fix timezone bug,Feature Inquiry,Subscription Cancellation,Transaction Processing,Subscription Management,SMS Gateway Delay,Third-party Failure
User mentions the website is too slow when loading reports.,Medium,N/A,Fix responsive layout,Manual refund processing,Update FAQ section,Fix timezone bug,Billing/Payments,Password Reset,Account Lifecycle,MFA/OTP,SMS Gateway Delay,Restrictive Policy
User cannot find the 'Export Data' option in the new interface.,Low,Yes,Simplify navigation menu,Waive fee,Send interactive guide,Fix timezone bug,Billing/Payments,Double Charge,Application Stability,Invoice Generation,Payment Gateway Timeout,Restrictive Policy
Customer confused about the new billing policy on their last invoice.,Medium,Yes,Simplify navigation menu,Provide better script for agents,Publish video tutorial,Fix timezone bug,Account Management,Subscription Cancellation,Transaction Processing,Invoice Generation,Hidden Cancellation Flow,Restrictive Policy
User cannot find the 'Export Data' option in the new interface.,None,Yes,Make buttons more prominent,Provide better script for agents,None,Optimize database query,Login/Access,Double Charge,Application Stability,MFA/OTP,Payment Gateway Timeout,User Error/Knowledge Gap
Payment got deducted twice for the same transaction.,Low,N/A,Make buttons more prominent,Provide better script for agents,Update FAQ section,Resolve API timeout,Feature Inquiry,Subscription Cancellation,Authentication,MFA/OTP,Android Webview Crash,User Error/Knowledge Gap
User mentions the website is too slow when loading reports.,Medium,Yes,Add tooltips,Manual refund processing,Publish video tutorial,None,Technical Issue,Password Reset,Transaction Processing,Reporting/Analytics,Payment Gateway Timeout,User Error/Knowledge Gap
Customer confused about the new billing policy on their last invoice.,Low,N/A,Add tooltips,Manual refund processing,None,Fix null pointer exception,Account Management,Subscription Cancellation,Authentication,MFA/OTP,Payment Gateway Timeout,UI/UX Flaw
App crashes immediately upon opening on Android 13.,Medium,Yes,Add tooltips,Manual refund processing,Update FAQ section,Optimize database query,Account Management,App Crash,Workflow/Usability,MFA/OTP,CSV Export Broken,User Error/Knowledge Gap
Customer is unable to reset their password via the mobile app.,Medium,N/A,Simplify navigation menu,Waive fee,Send interactive guide,Fix timezone bug,Account Management,App Crash,Authentication,Subscription Management,Payment Gateway Timeout,UI/UX Flaw
Customer confused about the new billing policy on their last invoice.,None,Yes,Fix responsive layout,Provide better script for agents,Send interactive guide,Optimize database query,Technical Issue,Double Charge,Authentication,Invoice Generation,CSV Export Broken,User Error/Knowledge Gap
