product,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,exact_problem_statement,digital_friction,key_solution,policy_friction,friction_driver_category
AAdvantage,Payments & Transfers,Refund Delay,Billing,P2P Payment,Duplicate Payment Deduction,Customer made a P2P transfer 3 days ago but the recipient hasn't received the funds yet. Status shows 'Processing'.,"P2P transfer status page only shows 'Processing' with no estimated completion time or tracking details.
No push notification when transfer completes or fails -- customer has to manually check status repeatedly.","Add estimated completion time and step-by-step tracking to P2P transfers. Enable push notifications for status changes.
Provide recipient confirmation when funds are deposited with transaction reference number.",Yes,Information Gap
Cash,Profile & Settings,Phone Number Update,Personal Info Update,Account Closure Process,Account Closure Multi-Step Burden,Customer wants to add their spouse as an authorized user but the form requires a SSN and the spouse is reluctant to enter it online.,"Authorized user form requires SSN entry on a single page with all other info. No explanation of why SSN is needed or how it's protected.
No option for the authorized user to enter their own SSN via a secure separate link.","Allow authorized user to complete their sensitive info via a separate secure tokenized link.
Explain SSN requirement with privacy policy link and show security badge on the form.",No,Process Gap
Rewards,Profile & Settings,Phone Number Update,Account Lifecycle,Communication Preferences,Address Validation Failure,Customer's mailing address shows their old address on statements even though they updated it in the app 2 months ago.,"Address update in profile doesn't propagate to statement delivery address automatically. These are managed as separate fields.
No confirmation that address change was successful -- customer only discovers it wasn't updated at next statement.","Auto-propagate address changes to all linked services (statements, cards, correspondence).
Show confirmation banner after address update with list of all affected services and estimated update timeline.",No,UI/UX Flaw
ATT,Transactions & Statements,Unrecognized Charge,Charge Inquiry,Real-time Posting,Merchant Name Mismatch,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",No,Policy Restriction
Rewards,Profile & Settings,Address Change,Account Lifecycle,Contact Information,Name Change Document Upload Error,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",Yes,Third-party Dependency
AAdvantage,Rewards & Loyalty,Promotional Offer,Rewards Redemption,Anniversary Bonus,Points Not Credited,Customer was downgraded from Platinum to Gold tier without any warning or notification. Lost access to airport lounge benefit.,"Tier status and benefits are displayed on a page that hasn't been updated for mobile. Tier progress bar doesn't show spend needed for next tier.
No proactive notification before tier downgrade -- customer only discovers it when trying to use a benefit.","Show tier progress bar with exact spend needed for retention/upgrade. Send 90-day and 30-day tier expiry warnings.
List all tier benefits clearly with real-time access status (active/at risk).",No,Information Gap
AAdvantage,Fraud & Disputes,Unauthorized Transaction,Card Security,Card Controls,Chargeback Timeline Unclear,Customer filed a dispute 3 weeks ago and has no idea where it stands. The app just says 'Under Review' with no timeline.,"Dispute status page shows only 'Under Review' with no timeline, no case manager contact, and no progress indicators.
Customer can't see what documents have been submitted or what's still needed without calling the dispute team.","Show dispute timeline with stages (Filed > Under Review > Merchant Response > Resolution) and estimated days per stage.
Provide case manager name and secure messaging for dispute communication within the app.",Yes,Third-party Dependency
Rewards,Transactions & Statements,Statement Error,Charge Inquiry,Statement Delivery,Transaction Not Showing,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",No,Third-party Dependency
AAdvantage,Profile & Settings,Email Update,Account Preferences,Document Verification,Address Validation Failure,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",No,System Bug/Outage
Rewards,Payments & Transfers,Payment Failed,Billing,Wire Transfer,Duplicate Payment Deduction,Auto Pay was set up but the payment didn't go through this month. Customer was charged a late fee as a result.,"Auto Pay enrollment screen doesn't confirm the payment date clearly. The toggle switch for auto pay on/off is buried under 'More Options'.
Customer cannot see scheduled auto pay details without navigating to a separate 'Scheduled Payments' section.","Redesign Auto Pay setup with clear date confirmation and summary screen. Surface auto pay status on account dashboard.
Send payment confirmation notifications 2 days before and immediately after auto pay execution.",Yes,Information Gap
Cash,Fraud & Disputes,Provisional Credit,Fraud Prevention,Fraud Investigation,Investigation Status Opaque,Customer filed a dispute 3 weeks ago and has no idea where it stands. The app just says 'Under Review' with no timeline.,"Dispute status page shows only 'Under Review' with no timeline, no case manager contact, and no progress indicators.
Customer can't see what documents have been submitted or what's still needed without calling the dispute team.","Show dispute timeline with stages (Filed > Under Review > Merchant Response > Resolution) and estimated days per stage.
Provide case manager name and secure messaging for dispute communication within the app.",No,Information Gap
Costco,Rewards & Loyalty,Earn Rate Question,Points Earning,Points Transfer,Promotional Points Missing,Customer transferred points to airline partner 5 days ago but they still don't appear in the airline frequent flyer account.,"Points transfer status shows 'Processing' with no estimated completion time. No confirmation from the partner program.
Transfer is irreversible but the confirmation screen doesn't clearly warn about this.","Show estimated partner transfer completion time and partner program confirmation. Add transfer tracker.
Display clear irreversibility warning with partner program terms before confirming transfer.",No,UI/UX Flaw
Costco,Transactions & Statements,Statement Download,Charge Inquiry,PDF Statement,Statement Cycle Confusion,Statement PDF won't download on the mobile app. Shows loading spinner for 30 seconds then displays 'Unable to generate statement'.,"Statement PDF generation times out on mobile. The download button doesn't provide progress feedback or file size indication.
Past statements beyond 12 months are not accessible digitally -- customer must call to request archived statements.","Optimize PDF generation for mobile with progress bar. Cache recently generated statements for instant re-download.
Provide 7-year digital statement archive accessible from the app without calling.",No,System Bug/Outage
ATT,Payments & Transfers,Payment Failed,Fund Transfer,ACH Processing,Bill Pay Scheduling Error,Customer's payment was declined even though they have sufficient balance. The app shows 'Transaction Failed' with no error code.,"App payment flow requires 7 taps to complete a simple payment. Error messages are generic ('Something went wrong') with no actionable guidance.
No retry mechanism exists -- customer must restart the entire payment flow after a failure.","Simplify payment flow to 3 taps maximum. Replace generic errors with specific codes and retry button.
Add payment status push notifications and in-app payment history with clear success/fail indicators.",No,System Bug/Outage
AAdvantage,Rewards & Loyalty,Redemption Issue,Loyalty Tier,Points Transfer,Partner Transfer Delay,Customer used their card at a gas station but didn't get the 5x gas category bonus. The merchant coded as 'convenience store'.,"Merchant category code (MCC) used for bonus determination is not visible to the customer. No way to report incorrect merchant coding.
Category bonus exclusions (gas stations inside grocery stores, warehouse clubs) are not clearly explained.","Show the MCC code and category assigned to each transaction. Allow customers to flag incorrect merchant categorization.
Clearly list category bonus exclusions with examples on the rewards earning rules page.",No,Policy Restriction
Costco,Profile & Settings,Address Change,Account Lifecycle,Communication Preferences,Email Change Delayed Verification,Customer's mailing address shows their old address on statements even though they updated it in the app 2 months ago.,"Address update in profile doesn't propagate to statement delivery address automatically. These are managed as separate fields.
No confirmation that address change was successful -- customer only discovers it wasn't updated at next statement.","Auto-propagate address changes to all linked services (statements, cards, correspondence).
Show confirmation banner after address update with list of all affected services and estimated update timeline.",No,Policy Restriction
Cash,Profile & Settings,Address Change,Personal Info Update,Communication Preferences,Name Change Document Upload Error,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",Yes,Process Gap
ATT,Transactions & Statements,Unrecognized Charge,Transaction History,Pending Transaction,Statement PDF Download Failure,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",No,Process Gap
Cash,Transactions & Statements,Statement Download,Transaction History,Real-time Posting,Transaction Search Not Working,Statement PDF won't download on the mobile app. Shows loading spinner for 30 seconds then displays 'Unable to generate statement'.,"Statement PDF generation times out on mobile. The download button doesn't provide progress feedback or file size indication.
Past statements beyond 12 months are not accessible digitally -- customer must call to request archived statements.","Optimize PDF generation for mobile with progress bar. Cache recently generated statements for instant re-download.
Provide 7-year digital statement archive accessible from the app without calling.",No,Third-party Dependency
ATT,Payments & Transfers,Bill Pay Problem,Fund Transfer,Wire Transfer,Balance Transfer Promo Mismatch,Customer made a P2P transfer 3 days ago but the recipient hasn't received the funds yet. Status shows 'Processing'.,"P2P transfer status page only shows 'Processing' with no estimated completion time or tracking details.
No push notification when transfer completes or fails -- customer has to manually check status repeatedly.","Add estimated completion time and step-by-step tracking to P2P transfers. Enable push notifications for status changes.
Provide recipient confirmation when funds are deposited with transaction reference number.",No,UI/UX Flaw
Costco,Profile & Settings,Email Update,Account Preferences,Privacy Settings,Notification Toggle Missing,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",Yes,Information Gap
Rewards,Rewards & Loyalty,Earn Rate Question,Rewards Redemption,Cashback Posting,Partner Transfer Delay,Customer used their card at a gas station but didn't get the 5x gas category bonus. The merchant coded as 'convenience store'.,"Merchant category code (MCC) used for bonus determination is not visible to the customer. No way to report incorrect merchant coding.
Category bonus exclusions (gas stations inside grocery stores, warehouse clubs) are not clearly explained.","Show the MCC code and category assigned to each transaction. Allow customers to flag incorrect merchant categorization.
Clearly list category bonus exclusions with examples on the rewards earning rules page.",No,Information Gap
Rewards,Payments & Transfers,Refund Delay,Fund Transfer,Payment Reversal,Bill Pay Scheduling Error,Customer's refund from a disputed transaction was approved 2 weeks ago but still not reflected in the account balance.,"Refund tracking is hidden under Statement > Transactions > Pending. No dedicated refund status page.
The app doesn't distinguish between merchant refunds and dispute credits making it confusing for customers.","Create dedicated refund tracking dashboard. Separate merchant refunds from dispute credits with clear labels.
Add push notification when refund posts and estimated timeline during pending status.",No,System Bug/Outage
ATT,Fraud & Disputes,Unauthorized Transaction,Card Security,Chargeback Process,Chargeback Timeline Unclear,Customer got a fraud alert text about a $12 coffee purchase they actually made. Now their card is blocked and they can't unblock it from the app.,"Fraud alerts via SMS have a 'Yes/No' response but responding 'Yes it's me' doesn't auto-unblock the card. Must call to remove the hold.
False positive rate on fraud detection is high for small recurring charges and online subscriptions.","Auto-unblock card immediately when customer confirms 'Yes it's me' on fraud alert. Tune fraud models to reduce false positives.
Allow customers to whitelist recurring merchants and subscription services to prevent false positives.",Yes,System Bug/Outage
Cash,Payments & Transfers,Payment Failed,Billing,ACH Processing,Balance Transfer Promo Mismatch,Customer made a P2P transfer 3 days ago but the recipient hasn't received the funds yet. Status shows 'Processing'.,"P2P transfer status page only shows 'Processing' with no estimated completion time or tracking details.
No push notification when transfer completes or fails -- customer has to manually check status repeatedly.","Add estimated completion time and step-by-step tracking to P2P transfers. Enable push notifications for status changes.
Provide recipient confirmation when funds are deposited with transaction reference number.",No,Information Gap
Rewards,Fraud & Disputes,Dispute Status,Card Security,Card Controls,Fraud Alert False Positive,Customer filed a chargeback for a canceled subscription but the merchant provided proof of a renewal. Customer can't upload their cancellation evidence.,"Customer cannot upload additional evidence for an open dispute through the app. Must fax or mail supporting documents.
The dispute portal doesn't show what evidence the merchant submitted, only the dispute outcome.","Enable document upload directly within the dispute detail screen. Show merchant evidence and allow customer rebuttal.
Accept photos, PDFs, and screenshots as dispute evidence with in-app camera capture.",Yes,Process Gap
Cash,Transactions & Statements,Missing Transaction,Transaction History,Pending Transaction,Statement Cycle Confusion,Customer thinks they were double-billed because their closing date changed and charges appear on two consecutive statements.,"Statement cycle dates are not prominently displayed. The app doesn't explain that changing due date shifts the billing cycle.
No way to view which transactions fall into which statement period without downloading individual PDFs.","Display statement period dates on the transaction list header. Add visual dividers between billing cycles.
Show a 'This Statement' vs 'Next Statement' toggle for easy period navigation.",No,Third-party Dependency
ATT,Payments & Transfers,Auto Pay Issue,Fund Transfer,ACH Processing,Duplicate Payment Deduction,Customer made a P2P transfer 3 days ago but the recipient hasn't received the funds yet. Status shows 'Processing'.,"P2P transfer status page only shows 'Processing' with no estimated completion time or tracking details.
No push notification when transfer completes or fails -- customer has to manually check status repeatedly.","Add estimated completion time and step-by-step tracking to P2P transfers. Enable push notifications for status changes.
Provide recipient confirmation when funds are deposited with transaction reference number.",No,Process Gap
AAdvantage,Transactions & Statements,Duplicate Charge,Charge Inquiry,Statement Delivery,Transaction Not Showing,Customer cannot view transactions older than 90 days on the app. Needs records from 6 months ago for tax purposes.,"App only displays 90 days of transactions by default. 'View More' link is hard to find and loads slowly with no pagination.
Exporting transactions to CSV/PDF for older periods requires multiple separate downloads by month.","Display full transaction history with infinite scroll and fast pagination. Enable one-click CSV export for any date range.
Add tax-year quick filter for easy end-of-year transaction export.",Yes,Information Gap
Rewards,Authentication & Access,OTP Not Received,Account Security,MFA/OTP,SMS OTP Delay,Password reset link in email expired before customer could use it. The link is only valid for 15 minutes.,"Password reset email link expires in 15 minutes which is too short. The reset page doesn't indicate time remaining.
Password requirements are only shown after a failed attempt, not proactively during creation.","Extend password reset link validity to 60 minutes. Show expiry countdown on the reset page.
Display password requirements upfront with real-time validation checkmarks during creation.",Yes,Information Gap
Rewards,Transactions & Statements,Statement Error,Charge Inquiry,Transaction Search,Statement PDF Download Failure,Customer thinks they were double-billed because their closing date changed and charges appear on two consecutive statements.,"Statement cycle dates are not prominently displayed. The app doesn't explain that changing due date shifts the billing cycle.
No way to view which transactions fall into which statement period without downloading individual PDFs.","Display statement period dates on the transaction list header. Add visual dividers between billing cycles.
Show a 'This Statement' vs 'Next Statement' toggle for easy period navigation.",No,Information Gap
AAdvantage,Fraud & Disputes,Unauthorized Transaction,Dispute Resolution,Suspicious Activity,Provisional Credit Delay,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",No,UI/UX Flaw
ATT,Authentication & Access,Account Locked,Sign On,Biometric Auth,Device Registration Loop,Customer's account got locked after entering wrong password 3 times. Now the unlock process requires calling the number on the back of the card.,"Account lockout after 3 failed attempts with no progressive delay option. Unlock requires a phone call during business hours only.
No self-service unlock via email verification or security questions as alternative.","Implement progressive lockout (increasing delays) instead of hard lock after 3 attempts.
Add self-service unlock via email verification link or security question answers.",Yes,Information Gap
Cash,Fraud & Disputes,Dispute Status,Card Security,Chargeback Process,Provisional Credit Delay,Customer sees a $500 charge they didn't make. They want to dispute it but the dispute form asks for merchant contact info they don't have.,"Dispute initiation form is 3 pages long requiring merchant details the customer doesn't have. No 'I don't know' option for optional fields.
Can't dispute directly from the transaction in the app -- must navigate to a separate 'Disputes' section and re-enter transaction details.","Enable one-tap dispute from the transaction detail screen. Pre-fill all transaction details and make merchant info optional.
Simplify form to single page with smart defaults and 'I don't know' option for merchant fields.",No,Third-party Dependency
Rewards,Transactions & Statements,Duplicate Charge,Statement Access,Real-time Posting,Duplicate Charge Display,Pending transactions show different amounts than final posted amounts. Customer was charged $45.67 but pending showed $40.00.,"Pending transaction amounts are the authorization hold amount not the final charge. No explanation that final amount may differ.
App doesn't update pending amounts when merchant sends a different settlement amount.","Show both authorization and expected final amounts for pending transactions. Add tooltip explaining holds.
Push notification when pending amount differs from final posted amount by more than 10%.",No,System Bug/Outage
Costco,Rewards & Loyalty,Points Expiry,Points Earning,Points Transfer,Tier Downgrade Surprise,"Customer wants to redeem points for a flight but the minimum redemption is 25,000 points and they have 24,500. No option for partial points + cash.","Redemption flow requires minimum 25,000 points with no points+cash option. Available redemption options are buried in a sub-menu.
Travel redemption search is a separate portal that doesn't integrate with the main app experience.","Implement points+cash hybrid redemption for any amount. Surface all redemption options on one clean screen.
Integrate travel search directly into the main app with points value calculator for each option.",No,System Bug/Outage
Costco,Transactions & Statements,Missing Transaction,Transaction History,Transaction Search,Merchant Name Mismatch,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",Yes,Information Gap
Costco,Authentication & Access,Password Reset,Account Security,MFA/OTP,Session Timeout Too Short,Customer's account got locked after entering wrong password 3 times. Now the unlock process requires calling the number on the back of the card.,"Account lockout after 3 failed attempts with no progressive delay option. Unlock requires a phone call during business hours only.
No self-service unlock via email verification or security questions as alternative.","Implement progressive lockout (increasing delays) instead of hard lock after 3 attempts.
Add self-service unlock via email verification link or security question answers.",Yes,System Bug/Outage
Costco,Profile & Settings,Phone Number Update,Personal Info Update,Contact Information,Name Change Document Upload Error,Customer had a legal name change and uploaded their court order document but the upload keeps failing with 'File too large' error.,"Document upload has a 2MB file size limit which rejects most phone camera photos. No image compression built in.
Supported format list (PDF, JPG) is only shown after upload failure. HEIC from iPhone is not supported.","Increase upload limit to 10MB with built-in image compression. Support HEIC, PNG, PDF, JPG formats.
Show supported formats and size limits before upload attempt with built-in camera capture option.",No,System Bug/Outage
Cash,Authentication & Access,Account Locked,Account Security,Trusted Device,Session Timeout Too Short,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",Yes,Information Gap
Rewards,Authentication & Access,Account Locked,Sign On,Trusted Device,Biometric Fallback Missing,Customer cannot log in because OTP is not being delivered to their phone. They've waited 15 minutes and tried 3 times.,"OTP delivery via SMS has 30-60 second delays during peak hours. No fallback to email or authenticator app OTP.
The 'Resend OTP' button has a 60-second cooldown with no visible timer showing remaining wait time.","Add email and authenticator app as OTP fallback channels. Show countdown timer on resend button.
Implement push notification OTP that doesn't depend on SMS delivery.",No,UI/UX Flaw
ATT,Fraud & Disputes,Card Replacement,Fraud Prevention,Credit Provisioning,Investigation Status Opaque,Customer's card was compromised and they need a replacement but expedited shipping costs $25. Standard shipping takes 7-10 business days.,"Replacement card ordering doesn't show estimated delivery date. Expedited shipping option is expensive and not clearly presented.
Digital card number for immediate online use is not offered during the replacement process.","Show estimated delivery date for replacement cards. Offer instant digital card number for immediate online use.
Provide free expedited shipping for fraud-related replacements.",Yes,UI/UX Flaw
Cash,Fraud & Disputes,Fraud Alert,Dispute Resolution,Credit Provisioning,Investigation Status Opaque,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",No,Information Gap
Costco,Authentication & Access,Account Locked,Device Management,Session Handling,Account Lockout After 3 Attempts,Customer set up a new password meeting all requirements but gets 'Password not accepted' error with no explanation of what's wrong.,"Password requirements are complex (12+ chars, upper, lower, number, special) but error messages don't specify which rule failed.
Previous 12 passwords are blocked but the system doesn't tell you it's a reuse -- just says 'not accepted'.","Show real-time password rule validation with green checkmarks. Explicitly name which rule failed on rejection.
Clearly state 'This password was used previously' instead of generic 'not accepted' message.",No,UI/UX Flaw
AAdvantage,Fraud & Disputes,Card Replacement,Fraud Prevention,Card Controls,Investigation Status Opaque,Customer's provisional credit from a dispute was reversed without explanation. They received a letter but it referenced a case number they can't find online.,"Provisional credit reversal notification is sent via postal mail only. No in-app notification or email explaining why credit was reversed.
Case reference numbers in letters don't match the format shown in the app, creating confusion.","Send provisional credit reversal notifications via push notification and email with clear explanation and next steps.
Use consistent case reference format across all channels (app, email, mail).",Yes,System Bug/Outage
Costco,Profile & Settings,Phone Number Update,Account Lifecycle,Account Closure Process,Email Change Delayed Verification,Customer's mailing address shows their old address on statements even though they updated it in the app 2 months ago.,"Address update in profile doesn't propagate to statement delivery address automatically. These are managed as separate fields.
No confirmation that address change was successful -- customer only discovers it wasn't updated at next statement.","Auto-propagate address changes to all linked services (statements, cards, correspondence).
Show confirmation banner after address update with list of all affected services and estimated update timeline.",Yes,Policy Restriction
Rewards,Payments & Transfers,Bill Pay Problem,Billing,Payment Reversal,Refund Not Reflected,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",No,Process Gap
Cash,Profile & Settings,Account Closure,Account Preferences,Document Verification,Name Change Document Upload Error,Customer wants to add their spouse as an authorized user but the form requires a SSN and the spouse is reluctant to enter it online.,"Authorized user form requires SSN entry on a single page with all other info. No explanation of why SSN is needed or how it's protected.
No option for the authorized user to enter their own SSN via a secure separate link.","Allow authorized user to complete their sensitive info via a separate secure tokenized link.
Explain SSN requirement with privacy policy link and show security badge on the form.",Yes,UI/UX Flaw
